No,순번,본부명,소방서,주소,전화번호,FAX,경도,위도
70,70,세종소방본부,조치원소방서,세종특별자치시 조치원읍 세종로 2439,044-300-8119,044-862-1995,127.288913224767,36.6047990346054
71,71,경기재난안전본부,가평소방서,경기도 가평군 가평읍 가화로36,031-580-0212,031-2808-585,127.516447439974,37.8232633131636
72,72,경기재난안전본부,고양소방서,경기도 고양시 덕양구 고양대로 1342,031-931-0212,031-8018-3519,126.833531629555,37.6548171400772
73,73,경기재난안전본부,일산소방서,경기도 고양시 일산동구 중앙로 1325,031-930-0212,031-8018-3559,126.76962652301,37.663281925407
74,74,경기재난안전본부,과천소방서,경기도 과천시 통영로 12,02-331-4212,031-8018-3529,126.990524202648,37.4285651285435
75,75,경기재난안전본부,광명소방서,경기도 광명시 금하로 472,02-2610-3213,031-8018-3509,126.88521520719,37.4486864275472
76,76,경기재난안전본부,광주소방서,경기도 광주시 초월읍 무들로 112,031-799-2212,031-8018-3539,127.299506083286,37.3855778086279
77,77,경기재난안전본부,구리소방서,경기도 구리시 아차산로 487번길 46,031-570-6214,031-747-0119,127.127833123057,37.598289419226
78,78,경기재난안전본부,군포소방서,경기도 군포시 고산로 429,031-479-8212,없음,126.927119541089,37.3525675777135
79,79,경기재난안전본부,김포소방서,경기도 김포시 감암로 111,031-980-4212,031-757-0119,126.70853566977,37.6415647165561
80,80,경기재난안전본부,남양주소방서,경기도 남양주시 평내로 25,031-590-0212,031-720-0509,127.232240434152,37.6433220225028
81,81,경기재난안전본부,동두천소방서,경기도 동두천시 지행로 6(지행동),031-830-5504,031-759-0119,127.047601020587,37.892263750205
82,82,경기재난안전본부,부천소방서,경기도 부천시 원미구 신흥로 115,031-650-4214,031-754-0003,126.777827962778,37.4932097311295
83,83,경기재난안전본부,분당소방서,경기도 성남시 분당구 양현로 14,031-8018-3212,031-280-8521,127.119486972496,37.3860403913578
84,84,경기재난안전본부,성남소방서,경기도 성남시 수정구 제일로 111,031-720-0212,031-280-8528,127.133433178913,37.4364295926771
85,85,경기재난안전본부,수원소방서,경기도 수원시 장안구 정자천로 189번길 12,031-8012-9212,031-280-8525,126.995993139674,37.2971991578539
86,86,경기재난안전본부,수원남부소방서,경기도 수원시 권선구 동수원로 286 (권선동),031-6398324,031-280-8529,127.036226331257,37.2542770657391
87,87,경기재난안전본부,시흥소방서,경기도 시흥시 정왕신길로 206 (정왕동),031-310-0212,031-280-8523,126.74028595101,37.3492188713936
88,88,경기재난안전본부,안산소방서,경기도 안산시 단원구 화랑로 407,031-470-7212,031-280-8527,126.832951782978,37.3217235661047
89,89,경기재난안전본부,안성소방서,경기도 안성시 미양로 855,031-678-4212,031-280-8526,127.255718815458,37.0004756435509
90,90,경기재난안전본부,안양소방서,경기도 안양시 동안구 동안로 82,031-470-0212,031-280-8520,126.955195396007,37.3867823146304
91,91,경기재난안전본부,양주소방서,경기도 양주시 백석읍 꿈나무로 156,031-849-8212,031-280-8524,126.989397922811,37.7958710296519
92,92,경기재난안전본부,양평소방서,경기도 양평군 양평읍 경강로 2047,031-770-0212,031-280-8522,127.507339658147,37.5003383087525
93,93,경기북부소방재난본부,여주소방서,경기도 여주시 우암로 110,031-887-7214,031-310-0529,127.625960532511,37.2914087303953
94,94,경기북부소방재난본부,연천소방서,경기도 연천군 전곡읍 평화로 892,031-830-0212,031-280-8694,127.069010423922,38.0481565554784
95,95,경기북부소방재난본부,오산소방서,경기도 오산시 청학로 67,031-8059-7212,031-310-0519,127.064634404582,37.1550196619629
96,96,경기북부소방재난본부,용인소방서,경기도 용인시 처인구 명지로 45,031-8021-0212,031-310-0509,127.190162421853,37.2324995384674
97,97,경기북부소방재난본부,의왕소방서,경기도 의왕시 오봉로 9,031-596-0214,031-280-8607,126.974762404818,37.3442019014818
98,98,경기북부소방재난본부,의정부소방서,경기도 의정부시 의정로 48,031-849-7212,031-280-8611,127.0357888712,37.7373116873371
99,99,경기북부소방재난본부,이천소방서,경기도 이천시 경충대로 2739,031-645-5212,031-280-8615,127.431294360253,37.2820992897944
100,100,경기북부소방재난본부,파주소방서,경기도 파주시 파주읍 통일로1564,031-956-9212,031-280-8608,126.789974040238,37.8475313715969
101,101,경기북부소방재난본부,송탄소방서,경기도 평택시 경기대로 1637,031-685-8212,031-280-8613,127.062058236186,37.0900540551189
102,102,경기북부소방재난본부,평택소방서,경기도 평택시 남부문예회관앞길 11,031-8053-6212,031-280-8609,127.433049281431,37.1025803720011
103,103,경기북부소방재난본부,포천소방서,경기도 포천시 군내면 호국로 1538,031-538-5212,031-280-8606,127.202616271935,37.8913503171125
104,104,경기북부소방재난본부,하남소방서,경기도 하남시 대청로 76 (신장동),031-799-4212,031-280-8614,127.220423156249,37.5399007653655
105,105,경기북부소방재난본부,화성소방서,경기도 화성시 향남읍 향남로 399,031-8012-6212,031-280-8610,126.920621285938,37.1310105018896
106,106,강원소방본부,강릉소방서,강원도 강릉시 선수촌로 64-28(홍제동),033-643-3119,043-767-4119,128.872661829929,37.7570288036781
107,107,강원소방본부,고성소방서,강원도 고성군 간성읍 수성로 37-11,033-681-1119,043-773-0119,128.473885317207,38.3769108960005
108,108,강원소방본부,동해소방서,강원도 동해시 천곡로 120,033-533-2119,043-740-7019 ,129.118898233184,37.5245566732594
109,109,강원소방본부,삼척소방서,강원도 삼척시 봉황로 101,033-572-9119,043-730-1819,129.171313464601,37.4464963660703
110,110,강원소방본부,속초소방서,강원도 속초시 미시령로 3226,033-636-2119,043-880-0199,128.560249058444,38.2032803714329
111,111,강원소방본부,양구소방서,강원도 양구군 양구읍 중심로 92,033-482-0119,043-641-7139,127.993971056605,38.0990682340466
112,112,강원소방본부,양양소방서,강원도 양양군 양양읍 남대천로 33,033-671-0119,043-830-0123,128.622504258124,38.0674092785278
113,113,강원소방본부,영월소방서,강원도 영월군 영월읍 영월로 1863,033-373-1119,043-539-8129,128.45837558996,37.1850307652301
114,114,강원소방본부,원주소방서,강원도 원주시 동부순환로 201,033-763-4119,043-251-0115,127.972799719924,37.3337969595558
115,115,강원소방본부,인제소방서,강원도 인제군 인제읍 비봉로 44번길 71,033-460-9211,043-249-9265,128.168633555161,38.0613538696572
116,116,강원소방본부,정선소방서,강원도 정선군 정선읍 녹송로 27,033-563-0119,043-841-3119,128.671902849736,37.3796649460256
117,117,강원소방본부,철원소방서,강원도 철원군 갈말읍 태봉로 1504,033-452-7119,043-760-0219,127.324210636073,38.1858432351025
118,118,강원소방본부,춘천소방서,강원도 춘천시 후석로 446,033-241-0119,043-760-0239,127.743321691362,37.8893811069601
119,119,강원소방본부,태백소방서,강원도 태백시 태백로 1120,033-553-1119,043-767-4219,128.989421304606,37.1581175814233
120,120,강원소방본부,평창소방서,강원도 평창군 평창읍 살구실길 10,033-339-9118,043-760-0239,128.389301779013,37.3782385721797
121,121,강원소방본부,홍천소방서,강원도 홍천군 홍천읍 공작산로 99,033-432-3119,043-773-0259,127.902784850679,37.6916611560205
122,122,강원소방본부,횡성소방서,강원도 횡성군 횡성읍 문예로 157,033-343-0119,043-773-0219,127.973961792477,37.4853794311027
123,123,강원소방본부,화천소방서,강원도 화천군 위라리길 47,033-442-1119,043-773-0239,127.713418720113,38.0978082278397
124,124,충북소방본부,괴산소방서,충청북도 괴산군 괴산읍 괴강로 69,043-760-0113,043-760-0129,127.801430435167,36.8075840941793
125,125,충북소방본부,단양소방서,충청북도 단양군 단양읍 별곡리 산28-4,043-767-4113,043-767-4119,128.355525524164,36.9883915065296
126,126,충북소방본부,보은소방서,충청북도 보은군 보은읍 남부로 4415,043-773-0113,043-773-0119,127.722058851565,36.476975347073
127,127,충북소방본부,영동소방서,충청북도 영동군 영동읍 영동황간로 174,043-740-7013,043-740-7019 ,127.789063602822,36.1656374195898
128,128,충북소방본부,옥천소방서,충청북도 옥천군 옥천읍 중앙로 132,043-730-1813,043-730-1819,127.574199302195,36.3079622304408
129,129,충북소방본부,음성소방서,충청북도 음성군 금왕읍 응천서길 11,043-880-0113,043-880-0199,127.594991916706,36.9893217979277
130,130,충북소방본부,제천소방서,충청북도 제천시 신죽하로 2164,043-641-7113,043-641-7139,128.21175796544,37.1605113270916
131,131,충북소방본부,증평소방서,충청북도 증평군 충청대로 1789,043-830-0113,043-830-0123,127.58401888408,36.7879372259767
132,132,충북소방본부,진천소방서,충청북도 진천군 진천읍 진광로 93,043-539-8113,043-539-8129,127.441142541723,36.872667853403
133,133,충북소방본부,청주동부소방서,충청북도 청주시 상당구 영운로 61,043-251-0114,043-251-0115,127.494865277547,36.6209875203366
134,134,충북소방본부,청주서부소방서,충청북도 청주시 흥덕구 풍산로 64,043-249-9113,043-249-9265,127.43705452981,36.627920487527
135,135,충북소방본부,충주소방서,충청북도 충주시 도매시장4길 9번,043-841-3114,043-841-3119,126.455849689564,36.7816205518453
136,136,충남소방본부,계룡소방서,충청남도 계룡시 두마면 사계로 46,041-540-5212,042-540-5219,127.264931154498,36.2681828399974
137,137,충남소방본부,공주소방서,충청남도 공주시 무령로 55,041-851-0212,041-851-0219,127.107968603622,36.4592638594015
138,138,충남소방본부,금산소방서,충청남도 금산군 금산읍 삼풍로 2,041-750-1212,041-750-1229,127.480100274615,36.0999082997871
139,139,충남소방본부,논산소방서,충청남도 논산시 대학로 17,041-730-0212,041-730-0219,127.10038234526,36.1782816936354
140,140,충남소방본부,당진소방서,충청남도 당진시 역천로 838,041-350-5212,041-350-5219,126.617834074244,36.8859328215583
141,141,충남소방본부,보령소방서,충청남도 보령시 성주산로 63,041-930-0212,041-930-0219,126.60838802361,36.3333859645528
142,142,충남소방본부,부여소방서,충청남도 부여군 규암면 계백로 17,041-830-0212,041-830-0219,126.882238623504,36.2749920525557
143,143,충남소방본부,서산소방서,충청남도 서산시 호수공원14로 26-4,041-689-0212,041-689-0219,126.444905720561,36.7733029085093
144,144,충남소방본부,서천소방서,충청남도 서천군 장항읍 장항로 37,041-955-0212,041-955-0219,126.683024887292,36.0134997591987
145,145,충남소방본부,아산소방서,충청남도 아산시 모종로 77,041-538-0212,041-538-0219,127.025751079736,36.7860490914044
146,146,충남소방본부,예산소방서,충청남도 예산군 오가면 오가중앙로 111,041-330-4212,041-330-4219,126.80181768129,36.6866622234139
147,147,충남소방본부,천안동남소방서,충청남도 천안시 동남구 천안대로 580,041-570-0212,041-570-0219,127.164996381468,36.7999748428367
148,148,충남소방본부,천안서북소방서,충청남도 천안시 서북구 직산읍 4산단 2길 32,041-360-0212,041-360-0219,127.116073079648,36.8625947600631
149,149,충남소방본부,청양소방서,충청남도 청양군 청양읍 충절로 1187,041-940-7212,041-940-7219,126.792452039025,36.4516442015281
150,150,충남소방본부,태안소방서,충청남도 태안군 태안읍 동백로 100,041-671-0212,041-671-0219,126.286116553128,36.7580227399203
151,151,충남소방본부,홍성소방서,충청남도 홍성군 홍성읍 충절로 741,041-630-0212,041-630-0219,126.695865209938,36.5847606958779
152,152,전북소방본부,고창소방서,전라북도 고창군 고창읍 녹두로 1294,063-560-1251,063-289-1122,126.688100727705,35.4324620478115
153,153,전북소방본부,군산소방서,전라북도 군산시 번영로 308,063-450-0251,063-289-1042,126.751105732898,35.9628407439342
154,154,전북소방본부,김제소방서,전라북도 김제시 벽성로 278,063-540-4251,063-289-1102,126.870047431872,35.7989537533909
155,155,전북소방본부,남원소방서,전라북도 남원시 요천로 1965,063-630-8251,063-289-1092,127.416194048222,35.4368993753051
156,156,전북소방본부,부안소방서,전라북도 부안군 행안면 변산로 86,063-580-1251,063-289-1132,126.711889855649,35.7297707994974
157,157,전북소방본부,순창소방서,전라북도 순창군 순창읍 교성로 24,063-653-7119,063-289-1096,127.133915969917,35.3720512381689
158,158,전북소방본부,완주소방서,전라북도 완주군 삼례읍 삼봉로 518,063-290-0251,063-289-1112,127.124161792932,35.9263747971427
159,159,전북소방본부,익산소방서,전라북도 익산시 무왕로 1338,063-839-3251,063-289-1062,127.005108603396,35.962240096547
160,160,전북소방본부,무진장소방서,전라북도 장수군 장계면 육십령로 136,063-350-6251,063-289-1142,127.589529289475,35.7322553891738
161,161,전북소방본부,전주덕진소방서,전라북도 전주시 덕진구 백제대로 611,063-250-4251,063-289-1012,127.136967078552,35.8423158089069
162,162,전북소방본부,전주완산소방서,전라북도 전주시 완산구 거마평로 73,063-220-4251,063-289-1022,127.116298025114,35.7989064508596
163,163,전북소방본부,정읍소방서,전라북도 정읍시 서부산업도로 507-5,063-570-1251,063-289-1082,126.85854860807,35.5882998636154
164,164,전남소방본부,강진소방서,전라남도 강진군 군동면 중앙로 223,061-430-0900,061-430-0740,126.780882698239,34.6433009110125
165,165,전남소방본부,고흥소방서,전라남도 고흥군 풍양면 고흥로 1330,061-840-0900,061-840-0740,127.25593349072,34.5814344799182
166,166,전남소방본부,광양소방서,전라남도 광양시 중마중앙로 109,061-798-0900,061-798-0740,127.697709159305,34.9400899417822
167,167,전남소방본부,나주소방서,전라남도 나주시 예향로 4201,061-330-0900,061-330-0740,126.709498515273,35.0278856519499
168,168,전남소방본부,담양소방서,전라남도 담양군 담양읍 추성로 1232,061-380-0900,061-380-0740,126.973929373888,35.3183493470485
169,169,전남소방본부,목포소방서,전라남도 목포시 삼향천로 110,061-280-0900,061-280-0740,126.430251301106,34.809948841894
170,170,전남소방본부,무안소방서,전라남도 무안군 무안읍 공항골 133-9,061-450-0900,061-450-0740,126.494373597761,35.0096135480475
171,171,전남소방본부,보성소방서,전라남도 보성군 벌교읍 녹색로 5247,061-859-0900,061-859-0740,127.315489987415,34.8384656024886
172,172,전남소방본부,순천소방서,전라남도 순천시 서면 삼산로 281,061-750-0900,061-750-0740,127.504002015922,34.9866221424396
173,173,전남소방본부,여수소방서,전라남도 여수시 망마로 20,061-680-0900,061-680-0740,127.665047055616,34.7598713411979
174,174,전남소방본부,영광소방서,전라남도 영광군 영광읍 함영로 3508,061-350-0900,061-350-0740,126.509109225357,35.263207507416
175,175,전남소방본부,영암소방서,전라남도 영암군 삼호읍 나불로 192,061-460-0900,061-460-0740,126.439287452192,34.7667216153318
176,176,전남소방본부,장성소방서,전라남도 장성군 장성읍 단풍로 204,061-360-0900,061-360-0740,126.799874783938,35.3206655871065
177,177,전남소방본부,함평소방서,전라남도 함평군 대동면 학동로386,061-338-0900,061-338-0740,126.538978585139,35.0605429130945
178,178,전남소방본부,해남소방서,전라남도 해남군 해남읍 교육청길 82,061-530-0900,061-530-0740,126.607588147475,34.5662544103814
179,179,전남소방본부,장흥소방서,전라남도 장흥군 장흥읍 원도리 215,,,126.915331294447,34.6885210787195
180,180,전남소방본부,화순소방서,전라남도 화순군 화순읍 학포로 2750,061-379-0900,061-379-0740,126.971166241179,35.0505403238271
181,181,경북소방본부,고령소방서,경상북도 고령군 고령읍 벽화길 18,054-954-4119,054-830-7816,128.268485045439,35.7239223263209
182,182,경북소방본부,구미소방서,경상북도 구미시 수출대로 112,054-461-1119,054-372-6019,128.376521845683,36.1105438364721
183,183,경북소방본부,김천소방서,경상북도 김천시 강변로 219(양천동),054-436-1119,054-370-8269,128.122636969354,36.106782731971
184,184,경북소방본부,문경소방서,경상북도 문경시 중앙로 305,054-559-1813,054-372-7119,128.209546203462,36.6100890027799
185,185,경북소방본부,상주소방서,경상북도 상주시 상산로 322,054-530-3714,054-850-6759,128.159953853881,36.4196337328875
186,186,경북소방본부,성주소방서,경상북도 성주군 성주읍 주산로 193,054-933-5119,054-873-5119,128.304632872302,35.9340274400385
187,187,경북소방본부,안동소방서,경상북도 안동시 육사로 301,054-855-8119,054-973-1149,128.737282196521,36.56104150868
188,188,경북소방본부,영덕소방서,경상북도 영덕군 영덕읍 경동로 8401,054-730-1512,054-976-7118,129.371004817794,36.4167049017411
189,189,경북소방본부,영주소방서,경상북도 영주시 문수면 적서로 448번길 17,054-632-1190,054-976-0119,128.633123598857,36.7919783180698
190,190,경북소방본부,영천소방서,경상북도 영천시 호국로 187,054-336-8000,054-974-3019,128.957886365402,35.9779216232633
191,191,경북소방본부,울진소방서,경상북도 울진군 울진읍 울진북로 508,054-780-1312,054-970-2849,129.394589476559,36.9934567110555
192,192,경북소방본부,예천소방서,경상북도 예천군 예천읍 양궁로 61-12(청복리),054-650-3414,054-971-6119,128.46341320344,36.64814932959
193,193,경북소방본부,의성소방서,경상북도 의성군 봉양면 경상북도대로 4741,054-830-7712,054-276-8648,128.591708352345,36.3052038448483
194,194,경북소방본부,청도소방서,경상북도 청도군 청도읍 중앙로 192-34,054-370-8212,054-288-0909,128.763173032098,35.6482120738573
195,195,경북소방본부,칠곡소방서,경상북도 칠곡군 기산면 칠곡대로 1216,054-976-7001,054-282-2724,128.388069526556,35.99564044792
196,196,경북소방본부,포항남부소방서,경상북도 포항시 남구 동해안로 5890,054-284-4117,054-291-1189,129.418920181348,35.9933826391617
197,197,경북소방본부,포항북부소방서,경상북도 포항시 북구 중앙로 332,054-260-2130,054-273-1184,129.366124363929,36.0425174655588
198,198,경북소방본부,경주소방서,경상북도 경주시 알천남로 276,054-778-0549,054-778-0529,129.228398464287,35.8440857291398
199,199,경북소방본부,경산소방서,경상북도 경산시 압량면 김유신로 12,053-811-1119,053-819-6249,128.769710406876,35.8384630839573
200,200,경남소방본부,거제소방서,경상남도 거제시 진목로 1,055-689-9212,055-689-9219,128.686318921931,34.8959484998726
201,201,경남소방본부,거창소방서,경상남도 거창군 거창읍 거함대로 3324,055-940-9212,055-940-9219,127.923312833827,35.6777978598445
202,202,경남소방본부,고성소방서,경상남도 고성군 고성읍 남해안대로 2670,055-670-9212,055-670-9219,128.33084850765,34.9811306595614
203,203,경남소방본부,김해동부소방서,경상남도 김해시 김해대로 2507,055-320-9212,055-320-9219,128.900932372547,35.2290809157214
204,204,경남소방본부,김해서부소방서,경상남도 김해시 장유로 341,055-344-9212,055-344-9219,128.817384416819,35.1965776456812
205,205,경남소방본부,남해소방서,경상남도 남해군 남해읍 스포츠로 81,055-860-9212,055-860-9219,127.892687568192,34.8295886647999
206,206,경남소방본부,밀양소방서,경상남도 밀양시 밀양대로 1760,055-350-9212,055-350-9219,128.753399053037,35.4831385351415
207,207,경남소방본부,사천소방서,경상남도 사천시 남일로 29,055-830-9212,055-830-9219,128.079950499372,34.9333693752375
208,208,경남소방본부,산청소방서,경상남도 산청군 산청읍 중앙로 76-7,055-970-9212,055-970-9219,127.883835740741,35.4150794470336
